"Borough","rent_per_month_1bed","rent_per_month_2bed","rent_per_month_3bed","rent_per_month_4bed","green_space","travel_bank","safety","school_density","pub_number","well_being_score","restaurant_number"
"Lambeth",1304.42339544513,1586.12008281574,2150.70393374741,3010.96273291925,0.695132070643888,0.495403288397353,0.60019654348305,0.299315062074226,0.296296296296296,0.50499615680246,0.210526315789474
"Lewisham",953.19503945885,1244.44757609921,1535.65727170237,2110.79481397971,0.257486273258928,0.27807460418607,0.751115796361522,0.334672895728726,0.123456790123457,0.560338201383551,0.0769230769230769
"Merton",1376.55832037325,1704.29704510109,2097.58475894246,3113.63297045101,0.390319765487458,0.195783781375727,0.84334122801097,0.525895854549605,0.0617283950617284,0.415394751290216,0.0688259109311741
"Newham",860.96049382716,1100.15185185185,1339.33580246914,1626.28518518519,0.221278034618804,0.274085422733256,0.541351201872936,0.1930981023964,0.0740740740740741,0.966179861644889,0.0728744939271255
"Redbridge",856.697164948454,1102.10695876289,1492.27190721649,1879.15335051546,0.198955033693085,0.114270252231396,0.762799183377428,0.69655569749672,0.0864197530864197,0.712528823981552,0.0769230769230769
"Richmond upon Thames",1482.11707317073,1885.76097560976,2522.61138211382,4414.78211382114,0.460958018620642,0.11389232525534,0.853352066712442,0.997265299204883,0.259259259259259,0.312027185565758,0.129554655870445
"Southwark",1307.00223964166,1587.44456886898,1922.93281075028,2504.98880179171,0.393901360447782,0.447331157811659,0.612876214669016,0.316496102257448,0.382716049382716,0.629515757109915,0.210526315789474
"Sutton",905.637987012987,1196.13798701299,1566.36688311688,2164.40422077922,0.149718454495186,0.0914556554659625,0.858840967314055,0.659117800533915,0.0864197530864197,0.712528823981552,0.048582995951417
"Tower Hamlets",1313.32085561497,1562.56951871658,2111.56016042781,2532.82887700535,0.849305431328544,0.435053160013322,0.481042797982829,0.33481005454617,0.246913580246914,1,0.230769230769231
"Waltham Forest",882.762295081967,1142.3825136612,1402.01912568306,1765.49863387978,0.329427325236039,0.20639187858829,0.691960040364885,0.177417075376825,0.0617283950617284,0.661798616448885,0.0809716599190283
"Wandsworth",1425.4450101833,1769.05804480652,2270.28716904277,3368.03360488798,0.657900432670094,0.342822940414165,0.772313493829277,0.568234061613737,0.271604938271605,0.574832546392885,0.194331983805668
"Westminster",2462.32950191571,3446.1570881226,4778.9054916986,9847.88888888889,0.532906776858941,0.744109762761142,0,0.815205095980503,1,0.980674206654222,1
